State,year,Employment,Share,Growth,Good Day Ratio,TRADITIONAL RATIO,GREEN RATIO,SCORE,Total_emissions,CO2_emissions,CH4_emissions,N2O_emissions
Tennessee,2019,79626.000 ,0.024 ,0.012 ,0.851 ,0.535 ,0.465 ,14.500 ,40095952.901 ,36770142.700 ,3181969.475 ,143840.726 
Tennessee,2020,72952.000 ,0.025 ,-0.084 ,0.918 ,0.530 ,0.470 ,14.500 ,31634976.400 ,2628427.475 ,116556.144 ,34379960.019 
Tennessee,2021,77685.000 ,0.025 ,0.026 ,0.845 ,0.540 ,0.460 ,11.000 ,36491115.200 ,2671041.375 ,135869.822 ,39298026.397 
Texas,2018,233447.000 ,0.017 ,0.588 ,0.797 ,0.521 ,0.479 ,16.500 ,389610858.107 ,371800430.588 ,13564275.507 ,2302389.929 
Texas,2019,241289.000 ,0.017 ,0.034 ,0.802 ,0.516 ,0.484 ,15.500 ,382645074.514 ,364443474.099 ,14331984.931 ,2040665.917 
Texas,2020,223406.000 ,0.019 ,-0.074 ,0.817 ,0.515 ,0.485 ,14.500 ,342668697.633 ,13160247.147 ,2109316.764 ,359711102.113 
Texas,2021,238884.000 ,0.018 ,0.069 ,0.805 ,0.518 ,0.482 ,10.000 ,355778997.208 ,12892749.044 ,2150275.209 ,372672146.125 
Utah,2018,43543.333 ,0.028 ,-0.006 ,0.632 ,0.578 ,0.422 ,21.000 ,36346635.924 ,34992941.120 ,906982.875 ,149262.836 
Utah,2019,44005.000 ,0.027 ,0.011 ,0.765 ,0.571 ,0.429 ,19.500 ,36228913.974 ,34853648.800 ,901205.975 ,151642.664 
Utah,2020,41514.000 ,0.027 ,-0.057 ,0.776 ,0.566 ,0.434 ,20.500 ,31959887.800 ,887447.300 ,132761.086 ,33215683.268 
Utah,2021,43452.000 ,0.027 ,0.047 ,0.698 ,0.567 ,0.433 ,17.000 ,36111807.900 ,904469.975 ,149322.436 ,37300975.108 
Vermont,2018,16814.000 ,0.048 ,-0.028 ,0.906 ,0.697 ,0.303 ,40.500 ,45716261.602 ,39162136.300 ,6157102.700 ,133032.564 
Vermont,2019,16635.000 ,0.049 ,-0.011 ,0.936 ,0.589 ,0.411 ,40.500 ,42713739.283 ,36151448.000 ,6224215.000 ,101583.730 
Vermont,2020,15238.000 ,0.054 ,-0.084 ,0.942 ,0.612 ,0.388 ,40.000 ,37555131.700 ,6300585.925 ,101899.610 ,44196428.931 
Vermont,2021,15668.000 ,0.052 ,0.028 ,0.913 ,0.707 ,0.293 ,36.500 ,33157885.100 ,5819539.075 ,95730.712 ,39287987.082 
Virginia,2018,95158.000 ,0.022 ,0.252 ,0.913 ,0.509 ,0.492 ,16.000 ,440286.321 ,154658.900 ,65091.500 ,12851.846 
Virginia,2019,97305.000 ,0.022 ,0.023 ,0.933 ,0.503 ,0.497 ,15.000 ,462945.492 ,157578.000 ,73870.250 ,11820.766 
Virginia,2020,88370.000 ,0.024 ,-0.092 ,0.972 ,0.503 ,0.497 ,18.000 ,125123.500 ,62839.250 ,10218.420 ,432738.579 
Virginia,2021,92315.000 ,0.024 ,0.057 ,0.914 ,0.503 ,0.497 ,19.500 ,130621.200 ,51034.750 ,13275.006 ,441022.527 
Washington,2018,87338.000 ,0.023 ,-0.044 ,0.840 ,0.524 ,0.476 ,31.500 ,22873370.862 ,20469833.400 ,1332328.750 ,200247.060 
Washington,2019,85035.000 ,0.022 ,-0.026 ,0.887 ,0.521 ,0.479 ,31.500 ,27231781.672 ,24703562.500 ,1517990.250 ,242144.966 
Washington,2020,75684.000 ,0.023 ,-0.110 ,0.888 ,0.517 ,0.483 ,30.500 ,21060707.500 ,1354449.750 ,220095.350 ,23160065.422 
Washington,2021,76905.000 ,0.022 ,0.054 ,0.885 ,0.509 ,0.491 ,31.500 ,19964688.600 ,1538791.000 ,250152.524 ,21849360.898 
West Virginia,2018,10076.000 ,0.013 ,-0.026 ,0.883 ,0.841 ,0.159 ,5.500 ,50522035.620 ,48845369.900 ,1467018.250 ,209647.470 
West Virginia,2019,10078.000 ,0.013 ,0.000 ,0.899 ,0.779 ,0.221 ,6.500 ,43221747.158 ,41654739.300 ,1400285.500 ,166722.358 
West Virginia,2020,8996.000 ,0.014 ,-0.107 ,0.941 ,0.733 ,0.267 ,5.500 ,38765188.100 ,1373866.000 ,148360.492 ,40287414.592 
West Virginia,2021,9540.000 ,0.014 ,0.060 ,0.867 ,0.762 ,0.238 ,4.000 ,42816174.200 ,1367775.750 ,167756.716 ,44351706.666 
Wisconsin,2018,77781.000 ,0.025 ,-0.033 ,0.825 ,0.567 ,0.433 ,15.500 ,79195021.555 ,65435512.000 ,12832929.250 ,307706.754 
Wisconsin,2019,76685.000 ,0.025 ,-0.014 ,0.879 ,0.546 ,0.454 ,16.000 ,74763816.985 ,62496487.100 ,11428893.500 ,288663.362 
Wisconsin,2020,69343.000 ,0.025 ,-0.096 ,0.869 ,0.539 ,0.461 ,17.000 ,55264804.600 ,11139205.250 ,250450.524 ,67157853.031 
Wisconsin,2021,71370.000 ,0.025 ,0.029 ,0.798 ,0.549 ,0.451 ,13.000 ,64494209.600 ,10273980.250 ,296651.550 ,75628605.577 
Wyoming,2018,8824.667 ,0.030 ,-0.027 ,0.789 ,0.897 ,0.103 ,4.500 ,59346522.944 ,58652376.100 ,436964.500 ,257182.344 
Wyoming,2019,8721.000 ,0.030 ,-0.012 ,0.871 ,0.877 ,0.123 ,4.500 ,54599090.578 ,53892220.800 ,435090.500 ,271779.278 
Wyoming,2020,8042.000 ,0.031 ,-0.078 ,0.864 ,0.834 ,0.166 ,4.000 ,52036587.700 ,372841.500 ,256951.096 ,52666380.296 
Wyoming,2021,8226.000 ,0.031 ,0.023 ,0.790 ,0.813 ,0.187 ,2.000 ,50493436.400 ,323537.000 ,267076.838 ,51084050.238 
